starting setpoint thread... 
Creating LCM backend.
initializing imu... 
initializing controller...
initializing motors...
Initializing: PWM
motors initialized...
resetting encoders...
initializing odometry...
enabling motors...
attaching imu interupt...
we are running!!!...
0.000000,0.000000,0.000025,-0.004795,0.008730,-0.002116
0.000000,0.000000,0.000019,-0.004795,0.008730,-0.002116
-0.000655,0.000000,-0.000003,-0.004795,0.008730,-0.002116
-0.002097,0.000000,-0.000109,-0.004795,0.008730,-0.002116
-0.004194,-0.000000,0.000134,-0.003084,0.008291,-0.011032
-0.007077,-0.000003,0.001024,-0.004272,0.008853,0.002860
-0.010092,-0.000007,0.001425,-0.004404,0.008755,0.003615
-0.013106,-0.000010,0.001007,-0.004130,0.008685,0.006009
-0.016514,-0.000014,0.000943,-0.001852,0.007885,-0.009107
-0.019659,-0.000017,0.000965,-0.001852,0.007885,-0.009107
-0.022542,-0.000017,0.000146,-0.001852,0.007885,-0.009107
-0.024770,-0.000015,-0.000772,-0.001852,0.007885,-0.009107
-0.027129,-0.000010,-0.002225,-0.001852,0.007885,-0.009107
-0.029488,-0.000005,-0.002051,-0.001852,0.007885,-0.009107
-0.031061,-0.000001,-0.002518,-0.001852,0.007885,-0.009107
-0.031979,0.000002,-0.004117,-0.001852,0.007885,-0.009107
-0.032241,0.000004,-0.005777,-0.001852,0.007885,-0.009107
-0.032241,0.000004,-0.006435,-0.001852,0.007885,-0.009107
-0.032241,0.000004,-0.005103,-0.001852,0.007885,-0.009107
-0.031979,0.000003,-0.003343,-0.001852,0.007885,-0.009107
-0.031848,0.000003,-0.001513,-0.001852,0.007885,-0.009107
-0.031716,0.000003,0.000217,-0.001852,0.007885,-0.009107
-0.031323,0.000003,0.000985,-0.001852,0.007885,-0.009107
-0.030799,0.000004,0.000930,-0.001852,0.007885,-0.009107
-0.030144,0.000004,0.000837,-0.000076,0.008812,0.001324
-0.029095,0.000004,-0.000090,0.005533,0.007916,0.007588
-0.027916,0.000003,-0.000720,0.005533,0.007916,0.007588
-0.026343,0.000001,-0.001595,0.005533,0.007916,0.007588
-0.023984,-0.000006,-0.003085,0.011104,0.009167,-0.000633
-0.022018,-0.000016,-0.004659,0.011104,0.009167,-0.000633
-0.019659,-0.000029,-0.005530,0.011104,0.009167,-0.000633
-0.016776,-0.000048,-0.006748,0.011104,0.009167,-0.000633
-0.013761,-0.000067,-0.006137,0.011104,0.009167,-0.000633
-0.010092,-0.000083,-0.004456,0.011104,0.009167,-0.000633
-0.006422,-0.000099,-0.004302,0.011104,0.009167,-0.000633
-0.002621,-0.000117,-0.004720,0.011104,0.009167,-0.000633
0.001441,-0.000141,-0.006108,0.011104,0.009167,-0.000633
0.005504,-0.000173,-0.007743,0.011104,0.009167,-0.000633
0.010091,-0.000209,-0.007803,0.011104,0.009167,-0.000633
0.014678,-0.000245,-0.007945,0.011104,0.009167,-0.000633
0.019396,-0.000294,-0.010423,0.011104,0.009167,-0.000633
0.024507,-0.000346,-0.010041,0.011104,0.009167,-0.000633
0.029618,-0.000394,-0.009516,0.011104,0.009167,-0.000633
0.034860,-0.000437,-0.008076,0.011104,0.009167,-0.000633
0.040496,-0.000475,-0.006793,0.011104,0.009167,-0.000633
0.045738,-0.000503,-0.005450,0.017248,0.008892,-0.003856
0.050980,-0.000531,-0.005329,0.025235,0.008364,-0.014678
0.056878,-0.000566,-0.005907,0.035267,0.007347,0.016662
0.062382,-0.000598,-0.005819,0.056384,0.008731,0.003550
0.067887,-0.000633,-0.006342,0.069946,0.007621,0.004326
0.074309,-0.000687,-0.008331,0.069946,0.007621,0.004326
0.080337,-0.000750,-0.010530,0.069946,0.007621,0.004326
0.086496,-0.000816,-0.010679,0.069946,0.007621,0.004326
0.092787,-0.000882,-0.010576,0.069946,0.007621,0.004326
0.099209,-0.000953,-0.011011,0.069946,0.007621,0.004326
0.105761,-0.001022,-0.010573,0.069946,0.007621,0.004326
0.112314,-0.001094,-0.010948,0.069946,0.007621,0.004326
0.119259,-0.001171,-0.011067,0.069946,0.007621,0.004326
0.126336,-0.001260,-0.012587,0.069946,0.007621,0.004326
0.133544,-0.001353,-0.012894,0.069946,0.007621,0.004326
0.140752,-0.001435,-0.011431,0.069946,0.007621,0.004326
0.148091,-0.001512,-0.010440,0.069946,0.007621,0.004326
0.155430,-0.001566,-0.007380,0.069946,0.007621,0.004326
0.163293,-0.001599,-0.004219,0.069946,0.007621,0.004326
0.171026,-0.001630,-0.003967,0.069946,0.007621,0.004326
0.179152,-0.001639,-0.001102,0.085038,0.009039,0.001241
0.187277,-0.001620,0.002345,0.104358,0.008952,0.000697
0.195141,-0.001585,0.004467,0.120547,0.010043,-0.005399
0.202742,-0.001528,0.007512,0.120547,0.010043,-0.005399
0.211523,-0.001438,0.010228,0.120547,0.010043,-0.005399
0.219910,-0.001347,0.010904,0.120547,0.010043,-0.005399
0.228035,-0.001253,0.011526,0.120547,0.010043,-0.005399
0.236947,-0.001158,0.010626,0.120547,0.010043,-0.005399
0.245596,-0.001088,0.008146,0.120547,0.010043,-0.005399
0.254246,-0.001035,0.006072,0.120547,0.010043,-0.005399
0.263158,-0.001009,0.002889,0.120547,0.010043,-0.005399
0.271939,-0.001014,-0.000553,0.120547,0.010043,-0.005399
0.280851,-0.001043,-0.003244,0.120547,0.010043,-0.005399
0.289894,-0.001098,-0.006094,0.120547,0.010043,-0.005399
0.299068,-0.001172,-0.008027,0.120547,0.010043,-0.005399
0.308242,-0.001250,-0.008540,0.120547,0.010043,-0.005399
0.317678,-0.001333,-0.008780,0.120547,0.010043,-0.005399
